JUGADOR,EQUIPO,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ID
JD Davison,Houston Rockets,4,0,3.3,0.3,2.0,0.125,0.3,0.5,0.5,0.3,0.5,0.5,0.3,0.5,0.8,0.8,0.0,0.0,0.3,0.0,1.0,1631120
Fred VanVleet,Houston Rockets,7,7,40.0,5.7,13.3,0.43,3.9,8.9,0.435,3.4,3.4,1.0,0.4,3.7,4.1,4.4,1.0,0.3,1.9,2.3,18.7,1627832
Jabari Smith Jr.,Houston Rockets,7,0,20.4,2.4,4.9,0.5,1.4,3.1,0.455,1.1,1.4,0.8,1.0,2.9,3.9,0.6,0.1,0.7,1.4,0.9,7.4,1631095
Steven Adams,Houston Rockets,7,0,22.1,1.7,2.9,0.6,0.0,0.0,0.0,2.3,4.3,0.533,3.3,3.3,6.6,0.6,0.4,1.1,0.7,1.0,5.7,203500
Reed Sheppard,Houston Rockets,3,0,3.3,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.7,0.3,0.3,0.3,0.0,1642263
Tari Eason,Houston Rockets,7,0,18.9,3.0,6.3,0.477,1.0,2.7,0.368,0.6,1.1,0.5,1.0,3.3,4.3,0.7,1.1,1.0,1.4,1.9,7.6,1631106
Alperen Sengun,Houston Rockets,7,7,36.6,8.4,18.7,0.45,0.4,1.1,0.375,3.6,5.7,0.625,3.0,8.9,11.9,5.3,1.9,0.4,2.1,3.7,20.9,1630578
Jeff Green,Houston Rockets,3,0,1.7,0.3,1.0,0.333,0.3,0.3,1.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,201145
James Harden,Los Angeles Clippers,7,7,39.4,6.3,14.4,0.436,2.3,6.3,0.364,3.9,4.7,0.818,0.6,4.9,5.4,9.1,1.3,1.0,3.0,2.3,18.7,201935
Kawhi Leonard,Los Angeles Clippers,7,7,37.9,9.4,17.6,0.537,2.1,5.3,0.405,4.0,5.1,0.778,1.6,6.0,7.6,4.7,1.1,0.7,2.1,1.7,25.0,202695
Derrick Jones Jr.,Los Angeles Clippers,7,1,18.4,3.0,6.9,0.438,0.9,2.9,0.3,0.4,1.1,0.375,0.7,1.1,1.9,0.3,0.6,1.3,0.4,0.4,7.3,1627884
Kris Dunn,Los Angeles Clippers,7,6,21.9,2.4,6.3,0.386,1.4,4.0,0.357,0.0,0.0,0.0,1.4,2.0,3.4,1.3,1.1,0.6,0.1,2.6,6.3,1627739
