JUGADOR,EQUIPO,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ID
Ayo Dosunmu,Chicago Bulls,46,26,30.3,4.8,9.8,0.492,1.3,4.1,0.328,1.3,1.7,0.785,0.6,2.9,3.5,4.5,0.9,0.4,1.5,2.3,12.3,1630245
Zach Collins,Chicago Bulls,36,4,11.8,1.7,3.7,0.462,0.4,1.3,0.304,0.9,1.0,0.886,1.1,1.8,2.8,1.4,0.4,0.4,0.6,1.9,4.6,1628380
Zach Collins,Chicago Bulls,28,8,19.7,3.3,6.1,0.541,0.6,2.1,0.3,1.4,1.5,0.884,2.3,4.4,6.7,2.1,0.5,0.5,1.3,2.2,8.6,1628380
Zach Collins,Chicago Bulls,64,12,15.3,2.4,4.7,0.507,0.5,1.7,0.302,1.1,1.2,0.885,1.6,2.9,4.5,1.7,0.5,0.5,0.9,2.1,6.4,1628380
Kevin Huerter,Chicago Bulls,43,15,20.9,3.0,7.2,0.413,1.4,4.8,0.302,0.5,0.7,0.714,0.4,2.3,2.8,1.7,0.8,0.4,0.9,1.6,7.9,1628989
Kevin Huerter,Chicago Bulls,26,16,30.0,5.0,11.3,0.439,2.7,7.2,0.376,0.6,0.8,0.714,0.4,2.8,3.3,3.2,1.2,0.3,1.2,2.0,13.2,1628989
Kevin Huerter,Chicago Bulls,69,31,24.3,3.7,8.8,0.425,1.9,5.7,0.338,0.5,0.7,0.714,0.4,2.5,3.0,2.3,1.0,0.3,1.0,1.8,9.9,1628989
Matas Buzelis,Chicago Bulls,80,31,18.9,3.2,6.9,0.454,1.2,3.3,0.361,1.1,1.4,0.815,0.7,2.8,3.5,1.0,0.4,0.9,0.9,1.6,8.6,1641824
Julian Phillips,Chicago Bulls,79,5,14.2,1.6,3.6,0.446,0.6,1.9,0.327,0.8,1.0,0.789,0.8,1.3,2.1,0.5,0.5,0.3,0.3,1.4,4.6,1641763
Jalen Smith,Chicago Bulls,64,2,15.0,3.0,6.4,0.466,1.1,3.5,0.324,1.1,1.4,0.809,1.4,4.2,5.6,1.0,0.3,0.7,0.6,1.5,8.2,1630188
Tre Jones,Chicago Bulls,28,0,16.1,1.6,3.3,0.484,0.3,0.9,0.308,0.9,1.2,0.758,0.5,1.5,2.1,3.7,0.6,0.2,0.8,1.2,4.4,1630200
Tre Jones,Chicago Bulls,18,9,25.3,4.6,8.1,0.572,0.6,1.2,0.5,1.7,1.9,0.882,0.9,2.3,3.2,4.9,1.1,0.3,0.8,1.2,11.5,1630200
Tre Jones,Chicago Bulls,46,9,19.7,2.8,5.2,0.538,0.4,1.0,0.396,1.2,1.5,0.821,0.7,1.8,2.5,4.2,0.8,0.2,0.8,1.2,7.2,1630200
Isaac Okoro,Chicago Bulls,55,22,19.1,2.3,4.9,0.464,1.0,2.7,0.371,0.6,0.8,0.717,0.9,1.5,2.4,1.2,0.6,0.3,0.4,1.9,6.1,1630171
